,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,56,False,284.7000000000003,3503.0,1.621370964725247
1,1,61,False,283.30000000000024,3802.0,1.6695859050611612
2,2,59,False,282.70000000000016,3970.0,1.847331388171923
3,3,52,False,282.8000000000002,3153.0,1.5525152433322118
4,4,57,False,284.0000000000003,3700.0,1.6539183780346398
5,5,60,False,284.20000000000016,3447.0,1.6096663300041154
6,6,57,False,282.3000000000003,3527.0,1.6172143044177618
7,7,61,False,284.2000000000002,3717.0,1.657640743650171
8,8,61,False,284.7000000000003,3723.0,1.660461227696107
9,9,59,False,278.9000000000003,3636.0,1.6246519283282845
10,10,61,False,284.1000000000002,3771.0,1.6668847491863996
11,11,58,False,283.2000000000002,3561.0,1.6264134216137367
12,12,62,False,282.50000000000017,3821.0,1.6701548647738758
13,13,60,False,276.9000000000002,3948.0,1.8230714846818548
14,14,59,False,284.7000000000002,3566.0,1.632564994575993
