,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,62,False,284.20000000000016,4092.0,1.8742718737141368
1,1,60,False,284.70000000000016,3952.0,1.8511506377885016
2,2,61,False,284.7000000000003,3971.0,1.8545266150450763
3,3,58,False,283.1000000000002,3705.0,1.651648898365317
4,4,63,False,284.90000000000026,4129.0,1.8833022855646588
5,5,59,False,284.3000000000001,3725.0,1.6594130849511846
6,6,61,False,284.3000000000001,4012.0,1.8604081098268064
7,7,64,False,284.90000000000015,4058.0,1.870686791605881
8,8,60,False,285.0,3624.0,1.6439232409381663
9,9,64,False,284.90000000000026,4041.0,1.8676661803763148
10,10,62,False,283.70000000000016,4074.0,1.8693191935061542
11,11,64,False,284.90000000000026,4025.0,1.8648232521602524
12,12,60,False,284.2000000000002,4075.0,1.8712512624845705
13,13,61,False,284.90000000000015,4013.0,1.862691055998205
14,14,64,False,282.6000000000002,4068.0,1.8643934463023237
