,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,62,False,284.7000000000002,3991.0,1.8580802753151544
1,1,61,False,284.5000000000001,3817.0,1.676461676579509
2,2,59,False,282.3000000000002,3972.0,1.846283245427001
3,3,61,False,284.90000000000026,4022.0,1.8642902031197406
4,4,60,False,284.7000000000002,3991.0,1.8580802753151544
5,5,61,False,284.10000000000025,4056.0,1.8675244080350137
6,6,63,False,284.5000000000003,4023.0,1.8630643773613147
7,7,66,False,284.0000000000002,4145.0,1.8829873190438793
8,8,61,False,284.7000000000002,4065.0,1.8712288183144437
9,9,61,False,284.60000000000025,3999.0,1.8591508622302033
10,10,60,False,284.5000000000002,4008.0,1.8603991321587559
11,11,61,False,283.4000000000002,4070.0,1.8675558298731911
12,12,57,False,283.90000000000026,3528.0,1.623006022518985
13,13,61,False,284.7000000000002,3980.0,1.8561257621666112
14,14,64,False,284.4000000000001,4062.0,1.8696431376949842
