,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,63,False,284.3999999999999,4199.0,1.893985710545019
1,1,63,False,284.4,4101.0,1.8765727752216361
2,2,64,False,284.9000000000001,4162.0,1.8891658250102874
3,3,63,False,284.7000000000001,4047.0,1.868030524071373
4,4,61,False,285.0,4141.0,1.8857853589196873
5,5,62,False,284.8,4118.0,1.8809968952231326
6,6,63,False,284.70000000000016,4037.0,1.866253693936334
7,7,63,False,283.80000000000007,4278.0,1.9059174054539336
8,8,62,False,284.70000000000005,4160.0,1.8881087045973144
9,9,62,False,284.2000000000001,4043.0,1.865565406052445
10,10,61,False,284.4,4150.0,1.8852792428833276
11,11,60,False,283.5000000000001,4258.0,1.9013111136049083
12,12,63,False,283.0000000000001,4233.0,1.8951146523023983
13,13,66,False,285.0,4125.0,1.8829424307036247
14,14,61,False,284.40000000000015,4094.0,1.8753289941271094
