,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,63,False,282.8000000000002,4085.0,1.8681158119178551
1,1,59,False,284.80000000000024,3950.0,1.8511461489544767
2,2,60,False,283.70000000000016,3884.0,1.6855594209404114
3,3,61,False,284.7000000000001,4100.0,1.8774477237870801
4,4,62,False,284.6000000000002,3979.0,1.855597201960125
5,5,62,False,284.9000000000001,3994.0,1.8593150787416306
6,6,63,False,284.70000000000016,3874.0,1.6872913627351966
7,7,64,False,283.9000000000002,4012.0,1.8590046010548766
8,8,58,False,284.9000000000001,4059.0,1.8708644746193848
9,9,61,False,284.40000000000026,4115.0,1.8790603374106918
10,10,58,False,283.10000000000025,3812.0,1.6706609808102355
11,11,58,False,284.70000000000016,3965.0,1.8534605169640526
12,12,61,False,284.3000000000003,3924.0,1.694772004638463
13,13,63,False,284.6000000000003,3950.0,1.850444394568512
14,14,61,False,284.6000000000002,4000.0,1.859328545243707
