,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,59,False,280.7000000000002,3430.0,1.594365017020163
1,1,58,False,284.2000000000002,3826.0,1.6770081921220972
2,2,57,False,284.7000000000003,3501.0,1.621015598698239
3,3,52,False,283.4000000000002,3138.0,1.551955261287548
4,4,60,False,284.0000000000003,3892.0,1.6880335166273903
5,5,57,False,284.10000000000014,3384.0,1.5981214229603866
6,6,59,False,284.60000000000025,3715.0,1.658688886395093
7,7,61,False,283.60000000000025,3693.0,1.6512710881681825
8,8,63,False,283.90000000000015,4013.0,1.8591822840683805
9,9,55,False,282.00000000000006,3537.0,1.6179385029738529
10,10,58,False,281.5000000000002,3440.0,1.598948864699062
11,11,58,False,284.60000000000014,3379.0,1.5989873938577794
12,12,61,False,283.1000000000001,3645.0,1.640987917555082
13,13,62,False,284.50000000000017,3756.0,1.6656230127557707
14,14,58,False,282.6000000000002,3694.0,1.6479399992518617
