,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,64,False,285.0,4133.0,1.884363894811656
1,1,62,False,284.3000000000002,4076.0,1.8717798226910567
2,2,62,False,284.7000000000002,4044.0,1.8674974750308615
3,3,63,False,283.0000000000001,4107.0,1.8727265926009058
4,4,61,False,282.1000000000002,4048.0,1.8590854000673334
5,5,66,False,282.9000000000002,4054.0,1.8629585156922164
6,6,63,False,283.70000000000016,4125.0,1.8783810271948536
7,7,62,False,284.70000000000016,3754.0,1.6659694011147277
8,8,62,False,284.5000000000002,4062.0,1.869994014887967
9,9,64,False,284.50000000000017,4101.0,1.8769236524146193
10,10,59,False,284.6000000000002,4119.0,1.8804728238506723
11,11,63,False,283.3000000000002,4124.0,1.8767998354094197
12,12,62,False,283.50000000000017,4137.0,1.8798114689709355
13,13,65,False,284.7000000000001,4062.0,1.8706957692739317
14,14,63,False,284.9000000000001,4054.0,1.869976059551865
