,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,63,False,284.40000000000015,4036.0,1.8650233793438828
1,1,61,False,284.7000000000003,4053.0,1.869096622152397
2,2,61,False,284.0000000000002,4051.0,1.8662851157745117
3,3,61,False,284.8000000000002,4153.0,1.88721580069577
4,4,64,False,283.80000000000024,4134.0,1.8803310515093714
5,5,60,False,284.9000000000002,4002.0,1.8607365428496623
6,6,61,False,284.2000000000002,3997.0,1.8573919874312654
7,7,60,False,284.10000000000025,3988.0,1.855441963116748
8,8,62,False,284.30000000000024,3861.0,1.6835779747877164
9,9,60,False,284.60000000000014,3952.0,1.8507997605955193
10,10,61,False,284.60000000000025,4036.0,1.865725133729848
11,11,64,False,284.8000000000002,4116.0,1.8806415291961254
12,12,63,False,284.4000000000003,4044.0,1.8664448434519145
13,13,64,False,284.8000000000001,4023.0,1.8641170089402617
14,14,58,False,283.20000000000016,3639.0,1.6402726966670413
