,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,59,False,283.30000000000024,3706.0,1.652528335764786
1,1,60,False,284.8000000000001,4081.0,1.8744226237234884
2,2,63,False,284.8000000000002,4087.0,1.875488721804512
3,3,60,False,285.0,3999.0,1.8605543710021322
4,4,60,False,284.7000000000001,4047.0,1.868030524071373
5,5,58,False,284.3000000000001,3548.0,1.6279631915609927
6,6,63,False,284.8000000000002,4013.0,1.8623401788052227
7,7,62,False,284.8000000000003,3895.0,1.6913735832117618
8,8,62,False,283.60000000000014,3984.0,1.8529768450978197
9,9,56,False,281.5000000000002,3443.0,1.5994819137395737
10,10,64,False,284.7000000000002,4006.0,1.860745520517713
11,11,62,False,284.4000000000002,3976.0,1.8543623985336484
12,12,63,False,283.8000000000001,3957.0,1.848881158119179
13,13,63,False,285.0,3943.0,1.8506041222459133
14,14,61,False,281.3000000000002,3597.0,1.6261433434332107
