,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,65,False,284.90000000000003,4077.0,1.874062768862455
1,1,60,False,285.0,3772.0,1.6702203269367448
2,2,61,False,284.9000000000002,3987.0,1.8580712976471037
3,3,63,False,284.6,4051.0,1.8683903789324057
4,4,60,False,284.2000000000001,4155.0,1.8854659035648829
5,5,63,False,284.50000000000006,4120.0,1.8802996296711931
6,6,62,False,284.4000000000002,4086.0,1.8739075300190784
7,7,65,False,283.5000000000002,4190.0,1.8892286686866426
8,8,64,False,284.40000000000015,4061.0,1.8694654546814804
9,9,60,False,284.5,4126.0,1.8813657277522164
10,10,62,False,284.20000000000005,3782.0,1.6691901395279245
11,11,62,False,284.3000000000002,4169.0,1.8883043429469202
12,12,62,False,284.1000000000002,4088.0,1.8732102644671387
13,13,63,False,285.0,4174.0,1.8916488983653164
14,14,64,False,284.6000000000002,4145.0,1.8850925822017737
