,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,65,False,284.60000000000025,4117.0,1.8801174578236646
1,1,61,False,284.8000000000002,3944.0,1.850080050873453
2,2,65,False,284.4000000000002,4182.0,1.8909650993154536
3,3,63,False,284.8000000000002,4101.0,1.8779762839935668
4,4,60,False,284.20000000000016,3912.0,1.692288931283433
5,5,61,False,284.4000000000002,4080.0,1.8728414319380549
6,6,61,False,284.5000000000002,4077.0,1.8726592600905256
7,7,62,False,284.7000000000001,4056.0,1.8696296711929081
8,8,59,False,283.3000000000002,3950.0,1.8458829910597396
9,9,65,False,284.2000000000002,4209.0,1.8950607862940942
10,10,62,False,284.3000000000002,3980.0,1.8547222533946814
11,11,62,False,284.9000000000003,4056.0,1.8703314255788737
12,12,60,False,284.3000000000002,3651.0,1.6462645419518953
13,13,61,False,285.0,4099.0,1.8783226723525233
14,14,63,False,285.0,4024.0,1.86499644633973
