,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,61,False,284.00000000000034,3963.0,1.8506490105861682
1,1,59,False,283.70000000000016,4011.0,1.8581251636554077
2,2,60,False,284.40000000000015,4001.0,1.858804473871246
3,3,61,False,284.60000000000025,3997.0,1.8587954962031954
4,4,60,False,283.90000000000026,3962.0,1.8501204503796815
5,5,59,False,284.00000000000017,3901.0,1.6896326637489252
6,6,62,False,285.0,3890.0,1.691186922530206
7,7,64,False,284.60000000000014,4019.0,1.8627045225002812
8,8,59,False,284.9000000000002,3319.0,1.5893790446264924
9,9,54,False,283.60000000000014,3469.0,1.6114700931433066
10,10,61,False,284.80000000000024,3807.0,1.6757374780234175
11,11,59,False,283.50000000000017,3616.0,1.637238618935399
12,12,55,False,283.90000000000015,3564.0,1.6294026110051254
13,13,59,False,284.90000000000026,3403.0,1.604304417760821
14,14,60,False,284.40000000000015,3865.0,1.6846395840347141
