,p,t,m,seed,num_bags,duplicate_bags,total_weight,total_value,fitness
0,56,38,12,275,57,False,282.0000000000003,3497.0,1.6108311824336972
1,64,15,6,526,62,False,284.2000000000002,3845.0,1.6803841693786712
2,192,6,5,258,65,False,284.60000000000014,4261.0,1.9057038117682272
3,129,3,18,836,66,False,283.8,4263.0,1.9032521602513748
4,64,40,2,973,52,False,283.7000000000001,3019.0,1.5318636142595299
5,29,30,5,512,54,False,282.40000000000015,3213.0,1.5617727153705165
6,133,10,1,735,60,False,283.60000000000014,3926.0,1.692671230314593
7,90,35,20,169,60,False,283.50000000000017,3759.0,1.6626472898664577
8,126,15,7,942,55,False,284.0000000000003,3546.0,1.6265551939550378
9,46,39,6,91,54,False,278.7000000000002,3421.0,1.5857483260389789
10,184,41,15,910,63,False,283.5000000000002,3856.0,1.6798825421763373
11,99,32,7,659,62,False,284.4000000000003,3822.0,1.6769992144540466
12,182,27,5,639,55,False,283.40000000000015,3150.0,1.5540874574495946
13,179,25,11,487,63,False,283.6000000000002,3665.0,1.646295963790073
14,109,8,18,530,62,False,284.8000000000002,4048.0,1.8685590842778594
15,83,30,15,777,57,False,284.5000000000001,3693.0,1.6544289829050243
16,116,35,18,941,54,False,283.70000000000016,3392.0,1.5981393782964881
17,67,17,15,696,55,False,281.2000000000002,3272.0,1.568045486851458
18,43,31,17,592,55,False,281.4000000000002,3230.0,1.5612845546702585
19,158,49,10,563,56,False,281.8000000000002,3404.0,1.5936049077918684
20,182,8,12,492,62,False,285.0,4126.0,1.8831201137171285
21,103,32,1,864,53,False,284.10000000000025,3098.0,1.547304081098269
22,35,3,3,269,61,False,279.60000000000014,3682.0,1.635281487300341
23,109,11,17,374,62,False,283.60000000000014,4043.0,1.8634601428945503
24,165,11,18,802,66,False,285.0,4078.0,1.874591329068941
25,116,16,12,649,59,False,283.8000000000002,3968.0,1.8508356712677223
26,127,20,8,588,61,False,283.20000000000016,3809.0,1.6704788089627058
27,123,43,16,202,57,False,283.1000000000001,3718.0,1.6539587775408675
28,200,39,16,576,56,False,282.2000000000002,3252.0,1.5680005985112042
29,102,2,4,774,63,False,282.90000000000003,4209.0,1.8904993827853216
30,117,32,16,16,61,False,283.7000000000002,3794.0,1.6695679497250597
31,77,26,2,468,57,False,277.40000000000015,3780.0,1.64497512437811
32,113,24,13,921,56,False,281.5000000000002,3362.0,1.585089589645757
33,29,5,14,165,60,False,283.40000000000015,3805.0,1.670469831294655
34,76,46,20,85,53,False,276.0000000000001,3283.0,1.5517543859649128
35,89,48,19,627,60,False,282.4000000000002,3521.0,1.6164990835297206
36,158,9,11,751,59,False,283.5000000000002,4017.0,1.8584895073504666
37,147,32,19,381,54,False,279.9000000000002,3323.0,1.5725459170313851
38,194,18,14,642,60,False,284.10000000000014,3732.0,1.6599551116597469
39,190,3,14,895,64,False,284.6,4210.0,1.8966419780795274
40,192,6,5,258,65,False,284.60000000000014,4261.0,1.9057038117682272
41,129,3,18,836,66,False,283.8,4263.0,1.9032521602513748
42,64,40,2,973,52,False,283.7000000000001,3019.0,1.5318636142595299
43,29,30,5,512,54,False,282.40000000000015,3213.0,1.5617727153705165
44,133,10,1,735,60,False,283.60000000000014,3926.0,1.692671230314593
45,90,35,20,169,60,False,283.50000000000017,3759.0,1.6626472898664577
46,126,15,7,942,55,False,284.0000000000003,3546.0,1.6265551939550378
47,46,39,6,91,54,False,278.7000000000002,3421.0,1.5857483260389789
48,184,41,15,910,63,False,283.5000000000002,3856.0,1.6798825421763373
49,99,32,7,659,62,False,284.4000000000003,3822.0,1.6769992144540466
50,182,27,5,639,55,False,283.40000000000015,3150.0,1.5540874574495946
51,179,25,11,487,63,False,283.6000000000002,3665.0,1.646295963790073
52,109,8,18,530,62,False,284.8000000000002,4048.0,1.8685590842778594
53,83,30,15,777,57,False,284.5000000000001,3693.0,1.6544289829050243
54,116,35,18,941,54,False,283.70000000000016,3392.0,1.5981393782964881
55,67,17,15,696,55,False,281.2000000000002,3272.0,1.568045486851458
56,43,31,17,592,55,False,281.4000000000002,3230.0,1.5612845546702585
57,158,49,10,563,56,False,281.8000000000002,3404.0,1.5936049077918684
58,182,8,12,492,62,False,285.0,4126.0,1.8831201137171285
59,103,32,1,864,53,False,284.10000000000025,3098.0,1.547304081098269
60,35,3,3,269,61,False,279.60000000000014,3682.0,1.635281487300341
61,109,11,17,374,62,False,283.60000000000014,4043.0,1.8634601428945503
62,165,11,18,802,66,False,285.0,4078.0,1.874591329068941
63,116,16,12,649,59,False,283.8000000000002,3968.0,1.8508356712677223
64,127,20,8,588,61,False,283.20000000000016,3809.0,1.6704788089627058
65,123,43,16,202,57,False,283.1000000000001,3718.0,1.6539587775408675
66,200,39,16,576,56,False,282.2000000000002,3252.0,1.5680005985112042
67,102,2,4,774,63,False,282.90000000000003,4209.0,1.8904993827853216
68,117,32,16,16,61,False,283.7000000000002,3794.0,1.6695679497250597
69,77,26,2,468,57,False,277.40000000000015,3780.0,1.64497512437811
70,113,24,13,921,56,False,281.5000000000002,3362.0,1.585089589645757
71,29,5,14,165,60,False,283.40000000000015,3805.0,1.670469831294655
72,76,46,20,85,53,False,276.0000000000001,3283.0,1.5517543859649128
73,89,48,19,627,60,False,282.4000000000002,3521.0,1.6164990835297206
74,158,9,11,751,59,False,283.5000000000002,4017.0,1.8584895073504666
75,147,32,19,381,54,False,279.9000000000002,3323.0,1.5725459170313851
76,194,18,14,642,60,False,284.10000000000014,3732.0,1.6599551116597469
77,190,3,14,895,64,False,284.6,4210.0,1.8966419780795274
78,192,6,5,258,65,False,284.60000000000014,4261.0,1.9057038117682272
79,129,3,18,836,66,False,283.8,4263.0,1.9032521602513748
80,64,40,2,973,52,False,283.7000000000001,3019.0,1.5318636142595299
81,29,30,5,512,54,False,282.40000000000015,3213.0,1.5617727153705165
82,133,10,1,735,60,False,283.60000000000014,3926.0,1.692671230314593
83,90,35,20,169,60,False,283.50000000000017,3759.0,1.6626472898664577
84,126,15,7,942,55,False,284.0000000000003,3546.0,1.6265551939550378
85,46,39,6,91,54,False,278.7000000000002,3421.0,1.5857483260389789
86,184,41,15,910,63,False,283.5000000000002,3856.0,1.6798825421763373
87,99,32,7,659,62,False,284.4000000000003,3822.0,1.6769992144540466
88,182,27,5,639,55,False,283.40000000000015,3150.0,1.5540874574495946
89,179,25,11,487,63,False,283.6000000000002,3665.0,1.646295963790073
90,109,8,18,530,62,False,284.8000000000002,4048.0,1.8685590842778594
91,83,30,15,777,57,False,284.5000000000001,3693.0,1.6544289829050243
92,116,35,18,941,54,False,283.70000000000016,3392.0,1.5981393782964881
93,67,17,15,696,55,False,281.2000000000002,3272.0,1.568045486851458
94,43,31,17,592,55,False,281.4000000000002,3230.0,1.5612845546702585
95,158,49,10,563,56,False,281.8000000000002,3404.0,1.5936049077918684
96,182,8,12,492,62,False,285.0,4126.0,1.8831201137171285
97,103,32,1,864,53,False,284.10000000000025,3098.0,1.547304081098269
98,35,3,3,269,61,False,279.60000000000014,3682.0,1.635281487300341
99,109,11,17,374,62,False,283.60000000000014,4043.0,1.8634601428945503
100,165,11,18,802,66,False,285.0,4078.0,1.874591329068941
101,116,16,12,649,59,False,283.8000000000002,3968.0,1.8508356712677223
102,127,20,8,588,61,False,283.20000000000016,3809.0,1.6704788089627058
103,123,43,16,202,57,False,283.1000000000001,3718.0,1.6539587775408675
104,200,39,16,576,56,False,282.2000000000002,3252.0,1.5680005985112042
105,102,2,4,774,63,False,282.90000000000003,4209.0,1.8904993827853216
106,117,32,16,16,61,False,283.7000000000002,3794.0,1.6695679497250597
107,77,26,2,468,57,False,277.40000000000015,3780.0,1.64497512437811
108,113,24,13,921,56,False,281.5000000000002,3362.0,1.585089589645757
109,29,5,14,165,60,False,283.40000000000015,3805.0,1.670469831294655
110,76,46,20,85,53,False,276.0000000000001,3283.0,1.5517543859649128
111,89,48,19,627,60,False,282.4000000000002,3521.0,1.6164990835297206
112,158,9,11,751,59,False,283.5000000000002,4017.0,1.8584895073504666
113,147,32,19,381,54,False,279.9000000000002,3323.0,1.5725459170313851
114,194,18,14,642,60,False,284.10000000000014,3732.0,1.6599551116597469
115,190,3,14,895,64,False,284.6,4210.0,1.8966419780795274
116,192,6,5,258,65,False,284.60000000000014,4261.0,1.9057038117682272
117,129,3,18,836,66,False,283.8,4263.0,1.9032521602513748
118,64,40,2,973,52,False,283.7000000000001,3019.0,1.5318636142595299
119,29,30,5,512,54,False,282.40000000000015,3213.0,1.5617727153705165
120,133,10,1,735,60,False,283.60000000000014,3926.0,1.692671230314593
121,90,35,20,169,60,False,283.50000000000017,3759.0,1.6626472898664577
122,126,15,7,942,55,False,284.0000000000003,3546.0,1.6265551939550378
123,46,39,6,91,54,False,278.7000000000002,3421.0,1.5857483260389789
124,184,41,15,910,63,False,283.5000000000002,3856.0,1.6798825421763373
125,99,32,7,659,62,False,284.4000000000003,3822.0,1.6769992144540466
126,182,27,5,639,55,False,283.40000000000015,3150.0,1.5540874574495946
127,179,25,11,487,63,False,283.6000000000002,3665.0,1.646295963790073
128,109,8,18,530,62,False,284.8000000000002,4048.0,1.8685590842778594
129,83,30,15,777,57,False,284.5000000000001,3693.0,1.6544289829050243
130,116,35,18,941,54,False,283.70000000000016,3392.0,1.5981393782964881
131,67,17,15,696,55,False,281.2000000000002,3272.0,1.568045486851458
132,43,31,17,592,55,False,281.4000000000002,3230.0,1.5612845546702585
133,158,49,10,563,56,False,281.8000000000002,3404.0,1.5936049077918684
134,182,8,12,492,62,False,285.0,4126.0,1.8831201137171285
135,103,32,1,864,53,False,284.10000000000025,3098.0,1.547304081098269
136,35,3,3,269,61,False,279.60000000000014,3682.0,1.635281487300341
137,109,11,17,374,62,False,283.60000000000014,4043.0,1.8634601428945503
138,165,11,18,802,66,False,285.0,4078.0,1.874591329068941
139,116,16,12,649,59,False,283.8000000000002,3968.0,1.8508356712677223
140,127,20,8,588,61,False,283.20000000000016,3809.0,1.6704788089627058
141,123,43,16,202,57,False,283.1000000000001,3718.0,1.6539587775408675
142,200,39,16,576,56,False,282.2000000000002,3252.0,1.5680005985112042
143,102,2,4,774,63,False,282.90000000000003,4209.0,1.8904993827853216
144,117,32,16,16,61,False,283.7000000000002,3794.0,1.6695679497250597
145,77,26,2,468,57,False,277.40000000000015,3780.0,1.64497512437811
146,113,24,13,921,56,False,281.5000000000002,3362.0,1.585089589645757
147,29,5,14,165,60,False,283.40000000000015,3805.0,1.670469831294655
148,76,46,20,85,53,False,276.0000000000001,3283.0,1.5517543859649128
149,89,48,19,627,60,False,282.4000000000002,3521.0,1.6164990835297206
