,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,61,False,283.70000000000016,4024.0,1.8604350428309586
1,1,62,False,284.6000000000002,3980.0,1.8557748849736289
2,2,55,False,284.5000000000003,3295.0,1.583711143530469
3,3,56,False,284.9000000000003,3549.0,1.6302461377323918
4,4,62,False,284.70000000000016,3892.0,1.690489656978267
5,5,63,False,281.4000000000002,3802.0,1.6629192383944944
6,6,62,False,284.70000000000016,3958.0,1.8522167358695252
7,7,60,False,283.50000000000017,3815.0,1.6725975386226768
8,8,57,False,284.4000000000002,3572.0,1.6325784610780691
9,9,58,False,283.80000000000024,3649.0,1.6441547899599753
10,10,61,False,284.8000000000002,3981.0,1.8566543223730976
11,11,61,False,283.3000000000001,3931.0,1.6925070138031653
12,12,55,False,284.50000000000017,3249.0,1.5755377249092888
13,13,61,False,283.10000000000014,3656.0,1.6429424307036253
14,14,63,False,284.9000000000002,3576.0,1.635043579096997
