,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,58,False,283.2000000000002,3658.0,1.6436486739236158
1,1,55,False,284.5000000000002,3579.0,1.6341731193655789
2,2,56,False,283.40000000000026,3559.0,1.6267598099726939
3,3,54,False,283.40000000000015,3503.0,1.6168095612164746
4,4,58,False,284.90000000000026,3390.0,1.60199453858527
5,5,60,False,283.7000000000003,3826.0,1.675253806157185
6,6,60,False,281.6000000000002,3957.0,1.8411618598735653
7,7,62,False,283.50000000000017,4004.0,1.8561796281749157
8,8,54,False,282.0000000000002,3307.0,1.5770714098679544
9,9,60,False,285.19999999999976,3943.0,1.6999028599738244
10,10,62,False,285.5999999999998,3943.0,1.6985032819097796
11,11,56,False,283.0000000000002,3772.0,1.6632027830770966
12,12,54,False,282.0000000000002,3145.0,1.548286761680321
13,13,56,False,282.40000000000026,3303.0,1.5777641865858687
14,14,54,False,283.90000000000015,3168.0,1.5590401376575773
