,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,64,False,284.90000000000015,4026.0,1.8650009351737558
1,1,64,False,284.8000000000002,4011.0,1.8619848127782148
2,2,60,False,285.0,4137.0,1.8850746268656717
3,3,59,False,284.90000000000015,4034.0,1.866422399281787
4,4,64,False,284.2000000000002,4061.0,1.8687637002955158
5,5,62,False,283.9000000000002,4193.0,1.8911652264990844
6,6,60,False,285.0,4018.0,1.8639303482587066
7,7,63,False,284.90000000000015,4140.0,1.8852567987132014
8,8,60,False,284.4000000000001,4048.0,1.8671555755059295
9,9,64,False,284.60000000000014,4203.0,1.8953981969850004
10,10,63,False,284.30000000000024,4213.0,1.8961223955410924
11,11,60,False,283.7000000000001,4124.0,1.8782033441813493
12,12,58,False,284.8000000000002,4056.0,1.8699805483858907
13,13,65,False,284.3000000000001,4195.0,1.8929241012980218
14,14,64,False,284.1000000000001,4182.0,1.8899124677365058
